Name,Position,Club,Country of the club,_league,_source
Nazim Sangare,Obrońca,Gaziantep FK,Turcja,Super Lig,sofascore
Onur Basyigit,Obrońca,Gaziantep FK,Turcja,Super Lig,sofascore
Sekou Koita,Napastnik,Genclerbirligi,Turcja,Super Lig,sofascore
Henry Onyekuru,Napastnik,Genclerbirligi,Turcja,Super Lig,sofascore
Prince Martor,Napastnik,Genclerbirligi,Turcja,Super Lig,sofascore
Ayaz Ozcan,Napastnik,Genclerbirligi,Turcja,Super Lig,sofascore
Dilhan Demir,Napastnik,Genclerbirligi,Turcja,Super Lig,sofascore
Arda Akgul,Napastnik,Genclerbirligi,Turcja,Super Lig,sofascore
Muhammet Ensar Uzun,Napastnik,Genclerbirligi,Turcja,Super Lig,sofascore
Adama Malouda Traore,Pomocnik,Genclerbirligi,Turcja,Super Lig,sofascore
Franco Tongya,Pomocnik,Genclerbirligi,Turcja,Super Lig,sofascore
Peter Etebo,Pomocnik,Genclerbirligi,Turcja,Super Lig,sofascore
Ousmane Diabate,Pomocnik,Genclerbirligi,Turcja,Super Lig,sofascore
Moussa Kyabou,Pomocnik,Genclerbirligi,Turcja,Super Lig,sofascore
Ogulcan Ulgun,Pomocnik,Genclerbirligi,Turcja,Super Lig,sofascore
Ensar Kemaloglu,Pomocnik,Genclerbirligi,Turcja,Super Lig,sofascore
Seyfi Toprak Kiskanc,Pomocnik,Genclerbirligi,Turcja,Super Lig,sofascore
Goktug Erdem,Pomocnik,Genclerbirligi,Turcja,Super Lig,sofascore
Pedro Pereira,Obrońca,Genclerbirligi,Turcja,Super Lig,sofascore
Kevin Rodrigues,Obrońca,Genclerbirligi,Turcja,Super Lig,sofascore
Dimitris Goutas,Obrońca,Genclerbirligi,Turcja,Super Lig,sofascore
Thalisson,Obrońca,Genclerbirligi,Turcja,Super Lig,sofascore
Zan Zuzek,Obrońca,Genclerbirligi,Turcja,Super Lig,sofascore
Abdurrahim Dursun,Obrońca,Genclerbirligi,Turcja,Super Lig,sofascore
Firatcan Uzum,Obrońca,Genclerbirligi,Turcja,Super Lig,sofascore
Yigit Hamza Aydar,Obrońca,Genclerbirligi,Turcja,Super Lig,sofascore
Emirhan Unal,Obrońca,Genclerbirligi,Turcja,Super Lig,sofascore
Ensar Cavusoglu,Obrońca,Genclerbirligi,Turcja,Super Lig,sofascore
Arda Cagan Celik,Obrońca,Genclerbirligi,Turcja,Super Lig,sofascore
Berat Can Sebat,Obrońca,Genclerbirligi,Turcja,Super Lig,sofascore
Andre Henrique,Napastnik,Goztepe,Turcja,Super Lig,sofascore
Juan Santos da Silva,Napastnik,Goztepe,Turcja,Super Lig,flashscore~fuzzy
Tibet Durakcay,Napastnik,Goztepe,Turcja,Super Lig,sofascore
Amine Cherni,Pomocnik,Goztepe,Turcja,Super Lig,sofascore
Rhaldney,Pomocnik,Goztepe,Turcja,Super Lig,sofascore
Izzet Furkan Malak,Pomocnik,Goztepe,Turcja,Super Lig,sofascore
Yusuf Ali Sirin,Napastnik,Goztepe,Turcja,Super Lig,flashscore~fuzzy
Allan,Obrońca,Goztepe,Turcja,Super Lig,sofascore
Berkay Aslan,Napastnik,Basaksehir FK,Turcja,Super Lig,sofascore
Batuhan Celik,Napastnik,Basaksehir FK,Turcja,Super Lig,sofascore
Omer Faruk Beyaz,Pomocnik,Basaksehir FK,Turcja,Super Lig,sofascore
Berat Ayberk Ozdemir,Pomocnik,Basaksehir FK,Turcja,Super Lig,flashscore~fuzzy
Matchoi Djalo,Pomocnik,Basaksehir FK,Turcja,Super Lig,sofascore
Berkay Aydogmus,Pomocnik,Basaksehir FK,Turcja,Super Lig,sofascore
Francis Nzaba,Obrońca,Basaksehir FK,Turcja,Super Lig,sofascore
Omer Ali Sahiner,Pomocnik,Basaksehir FK,Turcja,Super Lig,flashscore~fuzzy
Halit Acun,Obrońca,Basaksehir FK,Turcja,Super Lig,sofascore
Emre Kaplan,Obrońca,Basaksehir FK,Turcja,Super Lig,sofascore
Efe Arda Koyuncu,Obrońca,Basaksehir FK,Turcja,Super Lig,sofascore
Yasin Yagiz Dilek,Obrońca,Basaksehir FK,Turcja,Super Lig,sofascore
Dogukan Tuzcu,Obrońca,Basaksehir FK,Turcja,Super Lig,sofascore
Habib Gueye,Napastnik,Kasimpasa,Turcja,Super Lig,flashscore~fuzzy
Sarp Yavrucu,Napastnik,Kasimpasa,Turcja,Super Lig,sofascore
Berk Can Yildizli,Napastnik,Kasimpasa,Turcja,Super Lig,sofascore
Haris Hajradinovic,Pomocnik,Kasimpasa,Turcja,Super Lig,sofascore
Oguzhan Yilmaz,Pomocnik,Kasimpasa,Turcja,Super Lig,sofascore
Sercan Deniz,Pomocnik,Kasimpasa,Turcja,Super Lig,sofascore
Kamil Ahmet Corekci,Obrońca,Kasimpasa,Turcja,Super Lig,flashscore~fuzzy
Taylan Utku Aydin,Obrońca,Kasimpasa,Turcja,Super Lig,flashscore~fuzzy
Berkay Muratoglu,Obrońca,Kasimpasa,Turcja,Super Lig,sofascore
Adnan Aktas,Obrońca,Kasimpasa,Turcja,Super Lig,sofascore
Dan Agyei,Napastnik,Kocaelispor,Turcja,Super Lig,sofascore
Bedirhan Yildiz,Napastnik,Kocaelispor,Turcja,Super Lig,sofascore
Ege Bilim,Pomocnik,Kocaelispor,Turcja,Super Lig,sofascore
Anfernee Jamal Dijksteel,Obrońca,Kocaelispor,Turcja,Super Lig,flashscore~fuzzy
Ugur Kaan Yildiz,Obrońca,Kocaelispor,Turcja,Super Lig,flashscore~fuzzy
Onur Oztonga,Obrońca,Kocaelispor,Turcja,Super Lig,sofascore
Mikdat Cil,Obrońca,Kocaelispor,Turcja,Super Lig,sofascore
Umut Can Aslan,Obrońca,Kocaelispor,Turcja,Super Lig,sofascore
Muhammet Tunahan Tasci,Napastnik,Konyaspor,Turcja,Super Lig,flashscore~fuzzy
Mehmet Ali Buyuksayar,Napastnik,Konyaspor,Turcja,Super Lig,sofascore
Eren Yagmur,Napastnik,Konyaspor,Turcja,Super Lig,flashscore~fuzzy
Adem Eren Kabak,Pomocnik,Konyaspor,Turcja,Super Lig,sofascore
Berke Ozcelik,Pomocnik,Konyaspor,Turcja,Super Lig,sofascore
Arif Bosluk,Obrońca,Konyaspor,Turcja,Super Lig,sofascore
Muzaffer Utku Eris,Obrońca,Konyaspor,Turcja,Super Lig,sofascore
Ahmet Kusay,Pomocnik,Konyaspor,Turcja,Super Lig,flashscore~fuzzy
Cheick Tidiane Sabaly,Napastnik,Samsunspor,Turcja,Super Lig,sofascore
Marius Mouandilmadji,Napastnik,Samsunspor,Turcja,Super Lig,sofascore
Richie Omorowa,Napastnik,Samsunspor,Turcja,Super Lig,sofascore
Emre Koroglu,Napastnik,Samsunspor,Turcja,Super Lig,sofascore
Samed Onur,Pomocnik,Samsunspor,Turcja,Super Lig,sofascore
Alper Efe Pazar,Pomocnik,Samsunspor,Turcja,Super Lig,sofascore
Cheick Diabate,Pomocnik,Samsunspor,Turcja,Super Lig,sofascore
Josafat Mendes,Obrońca,Samsunspor,Turcja,Super Lig,sofascore
Ali Diabate,Obrońca,Samsunspor,Turcja,Super Lig,sofascore
Ali Tarkan,Obrońca,Samsunspor,Turcja,Super Lig,sofascore
Haluk Mustafa Tan,Obrońca,Samsunspor,Turcja,Super Lig,sofascore
Kerem Fidan,Obrońca,Samsunspor,Turcja,Super Lig,sofascore
Zekeriya Bulut,Napastnik,Trabzonspor,Turcja,Super Lig,sofascore
Batista Mendy,Pomocnik,Trabzonspor,Turcja,Super Lig,sofascore
John Lundstram,Pomocnik,Trabzonspor,Turcja,Super Lig,sofascore
Goktan Gurpuz,Pomocnik,Trabzonspor,Turcja,Super Lig,sofascore
Veysel Sonmezsoy,Pomocnik,Trabzonspor,Turcja,Super Lig,sofascore
Arda Ozturk,Obrońca,Trabzonspor,Turcja,Super Lig,sofascore
Ali Sahin Yilmaz,Obrońca,Trabzonspor,Turcja,Super Lig,sofascore
Berat Tekke,Obrońca,Trabzonspor,Turcja,Super Lig,sofascore
Mustafa Akcay,Obrońca,Trabzonspor,Turcja,Super Lig,sofascore
Reigan Heskey,Napastnik,1. FC Koln,Niemcy,Bundesliga,sofascore
Ragnar Ache,Napastnik,1. FC Koln,Niemcy,Bundesliga,sofascore
Fynn Schenten,Napastnik,1. FC Koln,Niemcy,Bundesliga,sofascore
Luca Waldschmidt,Napastnik,1. FC Koln,Niemcy,Bundesliga,sofascore
Marius Bulter,Napastnik,1. FC Koln,Niemcy,Bundesliga,sofascore
Imad Rondic,Napastnik,1. FC Koln,Niemcy,Bundesliga,sofascore
Malek El Mala,Napastnik,1. FC Koln,Niemcy,Bundesliga,sofascore
Youssoupha Niang,Napastnik,1. FC Koln,Niemcy,Bundesliga,sofascore
Maik Afri Akumu,Napastnik,1. FC Koln,Niemcy,Bundesliga,sofascore
Nilas Yacobi,Napastnik,1. FC Koln,Niemcy,Bundesliga,sofascore
Said El Mala,Pomocnik,1. FC Koln,Niemcy,Bundesliga,sofascore
Isak Bergmann Johannesson,Pomocnik,1. FC Koln,Niemcy,Bundesliga,sofascore
Paul Okon-Engstler,Pomocnik,1. FC Koln,Niemcy,Bundesliga,sofascore
Linton Maina,Pomocnik,1. FC Koln,Niemcy,Bundesliga,sofascore
Tom Krauss,Pomocnik,1. FC Koln,Niemcy,Bundesliga,sofascore
Patrik Kristal,Pomocnik,1. FC Koln,Niemcy,Bundesliga,sofascore
Jan Uwe Thielmann,Pomocnik,1. FC Koln,Niemcy,Bundesliga,sofascore
Alessio Castro-Montes,Pomocnik,1. FC Koln,Niemcy,Bundesliga,sofascore
Emin Kujovic,Pomocnik,1. FC Koln,Niemcy,Bundesliga,sofascore
Kristiyan Irmiev,Pomocnik,1. FC Koln,Niemcy,Bundesliga,sofascore
Gideon Mensah,Obrońca,1. FC Koln,Niemcy,Bundesliga,sofascore
Jahmai Simpson-Pusey,Obrońca,1. FC Koln,Niemcy,Bundesliga,sofascore
Luka Lochoshvili,Obrońca,1. FC Koln,Niemcy,Bundesliga,sofascore
Rav van den Berg,Obrońca,1. FC Koln,Niemcy,Bundesliga,sofascore
Timo Hubers,Obrońca,1. FC Koln,Niemcy,Bundesliga,sofascore
Sebastian Sebulonsen,Obrońca,1. FC Koln,Niemcy,Bundesliga,sofascore
Elias Bakatukanda,Obrońca,1. FC Koln,Niemcy,Bundesliga,sofascore
Joel Schmied,Obrońca,1. FC Koln,Niemcy,Bundesliga,sofascore
Julian Pauli,Obrońca,1. FC Koln,Niemcy,Bundesliga,sofascore
David Furst,Obrońca,1. FC Koln,Niemcy,Bundesliga,sofascore
Yannick Mausehund,Obrońca,1. FC Koln,Niemcy,Bundesliga,sofascore
Jonathan Friemel,Obrońca,1. FC Koln,Niemcy,Bundesliga,sofascore
Victor Okoh Boniface,Napastnik,Bayer 04 Leverkusen,Niemcy,Bundesliga,flashscore~fuzzy
Naba Mensah,Pomocnik,Bayer 04 Leverkusen,Niemcy,Bundesliga,sofascore
Jonah Berghoff,Pomocnik,Bayer 04 Leverkusen,Niemcy,Bundesliga,sofascore
Bryan Zaragoza,Napastnik,FC Bayern Munchen,Niemcy,Bundesliga,sofascore
Tim Binder,Napastnik,FC Bayern Munchen,Niemcy,Bundesliga,sofascore
Oluwaseyi Wilson,Napastnik,FC Bayern Munchen,Niemcy,Bundesliga,sofascore
Michael Matosevic,Pomocnik,FC Bayern Munchen,Niemcy,Bundesliga,sofascore
Simon Schaff,Pomocnik,FC Bayern Munchen,Niemcy,Bundesliga,sofascore
Tarek Buchmann,Obrońca,FC Bayern Munchen,Niemcy,Bundesliga,sofascore
Roko Mijatovic,Obrońca,FC Bayern Munchen,Niemcy,Bundesliga,sofascore
Raphael Pavlic,Obrońca,FC Bayern Munchen,Niemcy,Bundesliga,sofascore
Richard Ajayi,Obrońca,FC Bayern Munchen,Niemcy,Bundesliga,sofascore
Adam El-Chaar,Obrońca,FC Bayern Munchen,Niemcy,Bundesliga,sofascore
Marwan-Omir Mirza,Napastnik,Borussia Dortmund,Niemcy,Bundesliga,sofascore
Arne Wessels,Napastnik,Borussia Dortmund,Niemcy,Bundesliga,sofascore
Mussa Kaba,Pomocnik,Borussia Dortmund,Niemcy,Bundesliga,sofascore
Enzo Duarte,Pomocnik,Borussia Dortmund,Niemcy,Bundesliga,sofascore
Tom Faust,Pomocnik,Borussia Dortmund,Niemcy,Bundesliga,sofascore
Jan-Luca Riedl,Obrońca,Borussia Dortmund,Niemcy,Bundesliga,sofascore
Miguel Adje,Obrońca,Borussia Dortmund,Niemcy,Bundesliga,sofascore
Romeo Ritter,Obrońca,Borussia Dortmund,Niemcy,Bundesliga,sofascore
Tomas Cvancara,Napastnik,Borussia M'gladbach,Niemcy,Bundesliga,sofascore
Iaia Manco Danfa,Napastnik,Borussia M'gladbach,Niemcy,Bundesliga,sofascore
Nathan N'Goumou,Pomocnik,Borussia M'gladbach,Niemcy,Bundesliga,sofascore
Niko Horvat,Pomocnik,Borussia M'gladbach,Niemcy,Bundesliga,sofascore
Edin Biber,Pomocnik,Borussia M'gladbach,Niemcy,Bundesliga,sofascore
Mathieu Nguefack,Pomocnik,Borussia M'gladbach,Niemcy,Bundesliga,sofascore
Fabio Chiarodia,Obrońca,Borussia M'gladbach,Niemcy,Bundesliga,flashscore~fuzzy
Tyler Meiser,Obrońca,Borussia M'gladbach,Niemcy,Bundesliga,sofascore
Dillon Berko,Obrońca,Borussia M'gladbach,Niemcy,Bundesliga,sofascore
Lion Schweers,Obrońca,Borussia M'gladbach,Niemcy,Bundesliga,sofascore
Ayoube Amaimouni Echghouyab,Napastnik,Eintracht Frankfurt,Niemcy,Bundesliga,flashscore~fuzzy
Elye Wahi,Napastnik,Eintracht Frankfurt,Niemcy,Bundesliga,sofascore
Jessic Ngankam,Napastnik,Eintracht Frankfurt,Niemcy,Bundesliga,sofascore
Keito Kumashiro,Napastnik,Eintracht Frankfurt,Niemcy,Bundesliga,sofascore
Noel Aseko,Pomocnik,Eintracht Frankfurt,Niemcy,Bundesliga,sofascore
Eric Ebimbe,Pomocnik,Eintracht Frankfurt,Niemcy,Bundesliga,sofascore
Eba Bekir Is,Pomocnik,Eintracht Frankfurt,Niemcy,Bundesliga,flashscore~fuzzy
Jeremiaha Maluze,Obrońca,Eintracht Frankfurt,Niemcy,Bundesliga,sofascore
Julian Etse,Obrońca,Eintracht Frankfurt,Niemcy,Bundesliga,sofascore
Steve Mounie,Napastnik,FC Augsburg,Niemcy,Bundesliga,sofascore
Thomas Kastanaras,Napastnik,FC Augsburg,Niemcy,Bundesliga,sofascore
Nathanael Mbuku,Pomocnik,FC Augsburg,Niemcy,Bundesliga,sofascore
Yusuf Kabadayi,Pomocnik,FC Augsburg,Niemcy,Bundesliga,sofascore
Tim Breithaupt,Pomocnik,FC Augsburg,Niemcy,Bundesliga,sofascore
Mahmut Kucuksahin,Pomocnik,FC Augsburg,Niemcy,Bundesliga,sofascore
Florian Hangl,Pomocnik,FC Augsburg,Niemcy,Bundesliga,sofascore
Franz Xaver Bleicher,Pomocnik,FC Augsburg,Niemcy,Bundesliga,sofascore
Milo Adleff,Obrońca,FC Augsburg,Niemcy,Bundesliga,sofascore
Ransford Yeboah Konigsdorffer,Napastnik,1. FSV Mainz 05,Niemcy,Bundesliga,flashscore~fuzzy
Jeremiah Debrah,Pomocnik,1. FSV Mainz 05,Niemcy,Bundesliga,sofascore
Andreas Hanche Olsen,Obrońca,1. FSV Mainz 05,Niemcy,Bundesliga,sofascore
Alexander Rossing-Lelesiit,Napastnik,Hamburger SV,Niemcy,Bundesliga,sofascore
Thierry Sedlatschek,Napastnik,Hamburger SV,Niemcy,Bundesliga,sofascore
Jannes von Diczelski,Napastnik,Hamburger SV,Niemcy,Bundesliga,sofascore
Finn Jan Erik Barkowsky,Napastnik,Hamburger SV,Niemcy,Bundesliga,sofascore
Kofi Jeremy Amoako,Pomocnik,Hamburger SV,Niemcy,Bundesliga,flashscore~fuzzy
Mads Brocker,Pomocnik,Hamburger SV,Niemcy,Bundesliga,sofascore
Jason Dean Bissi Mouelle,Obrońca,Hamburger SV,Niemcy,Bundesliga,sofascore
Robert Ramsak,Napastnik,RB Leipzig,Niemcy,Bundesliga,sofascore
Eljif Elmas,Pomocnik,RB Leipzig,Niemcy,Bundesliga,sofascore
Viggo Gebel,Pomocnik,RB Leipzig,Niemcy,Bundesliga,sofascore
Benno Kaltefleiter,Pomocnik,RB Leipzig,Niemcy,Bundesliga,sofascore
Lutsharel Geertruida,Obrońca,RB Leipzig,Niemcy,Bundesliga,sofascore
Abdoul Kone,Obrońca,RB Leipzig,Niemcy,Bundesliga,sofascore
Max Finkgrafe,Obrońca,RB Leipzig,Niemcy,Bundesliga,sofascore
Leon Catak,Napastnik,SC Freiburg,Niemcy,Bundesliga,sofascore
Florent Muslija,Pomocnik,SC Freiburg,Niemcy,Bundesliga,sofascore
Yannick Engelhardt,Pomocnik,SC Freiburg,Niemcy,Bundesliga,sofascore
Mladen Mijajlovic,Pomocnik,SC Freiburg,Niemcy,Bundesliga,sofascore
Maximilian Rosenfelder,Obrońca,SC Freiburg,Niemcy,Bundesliga,sofascore
Lasse Eickel,Napastnik,SC Paderborn 07,Niemcy,Bundesliga,sofascore
Tjark Lasse Scheller,Obrońca,SC Paderborn 07,Niemcy,Bundesliga,flashscore~fuzzy
Jano Ter-Horst,Obrońca,SC Paderborn 07,Niemcy,Bundesliga,sofascore
Tristan Zobel,Obrońca,SC Paderborn 07,Niemcy,Bundesliga,sofascore
Emil Hojlund,Napastnik,FC Schalke 04,Niemcy,Bundesliga,sofascore
Soufiane El-Faouzi,Pomocnik,FC Schalke 04,Niemcy,Bundesliga,sofascore
Mauro Zalazar,Pomocnik,FC Schalke 04,Niemcy,Bundesliga,sofascore
Max Gruger,Pomocnik,FC Schalke 04,Niemcy,Bundesliga,sofascore
Edion Gashi,Pomocnik,FC Schalke 04,Niemcy,Bundesliga,sofascore
Tomas Kalas,Obrońca,FC Schalke 04,Niemcy,Bundesliga,sofascore
Martin Wasinski,Obrońca,FC Schalke 04,Niemcy,Bundesliga,sofascore
Steve Noode,Obrońca,FC Schalke 04,Niemcy,Bundesliga,sofascore
Anton Donkor,Obrońca,FC Schalke 04,Niemcy,Bundesliga,sofascore
Magnus Rosner,Obrońca,FC Schalke 04,Niemcy,Bundesliga,sofascore
Louis Tober,Obrońca,FC Schalke 04,Niemcy,Bundesliga,sofascore
David Mokwa,Napastnik,SV 07 Elversberg,Niemcy,Bundesliga,flashscore~fuzzy
Lukas Finn Pinckert,Obrońca,SV 07 Elversberg,Niemcy,Bundesliga,flashscore~fuzzy
Florian Yves Le Joncour,Obrońca,SV 07 Elversberg,Niemcy,Bundesliga,flashscore~fuzzy
Gift Orban,Napastnik,TSG Hoffenheim,Niemcy,Bundesliga,sofascore
Deniz Zeitler,Napastnik,TSG Hoffenheim,Niemcy,Bundesliga,sofascore
Jykese Fields,Napastnik,TSG Hoffenheim,Niemcy,Bundesliga,sofascore
Umut Tohumcu,Pomocnik,TSG Hoffenheim,Niemcy,Bundesliga,sofascore
Bambase Conte,Pomocnik,TSG Hoffenheim,Niemcy,Bundesliga,sofascore
Luis Engelns,Pomocnik,TSG Hoffenheim,Niemcy,Bundesliga,sofascore
Dennis Geiger,Pomocnik,TSG Hoffenheim,Niemcy,Bundesliga,sofascore
Tiago Poller,Pomocnik,TSG Hoffenheim,Niemcy,Bundesliga,sofascore
Alex Honajzer,Pomocnik,TSG Hoffenheim,Niemcy,Bundesliga,sofascore
Oskar Hencke,Pomocnik,TSG Hoffenheim,Niemcy,Bundesliga,sofascore
Koki Machida,Obrońca,TSG Hoffenheim,Niemcy,Bundesliga,sofascore
Natnael Abraha,Obrońca,TSG Hoffenheim,Niemcy,Bundesliga,sofascore
Tristan Spranger,Obrońca,TSG Hoffenheim,Niemcy,Bundesliga,sofascore
Maxime Ndong Penda,Obrońca,TSG Hoffenheim,Niemcy,Bundesliga,sofascore
Mekhi Gray,Napastnik,1. FC Union Berlin,Niemcy,Bundesliga,sofascore
Rani Khedira,Pomocnik,1. FC Union Berlin,Niemcy,Bundesliga,sofascore
Duje Sliskovic,Pomocnik,1. FC Union Berlin,Niemcy,Bundesliga,sofascore
Tom Alexander Rothe,Obrońca,1. FC Union Berlin,Niemcy,Bundesliga,flashscore~fuzzy
Bennett Wilp,Obrońca,1. FC Union Berlin,Niemcy,Bundesliga,sofascore
Matthaios Tsigkas,Napastnik,VfB Stuttgart,Niemcy,Bundesliga,sofascore
Oliver Rolke,Napastnik,VfB Stuttgart,Niemcy,Bundesliga,sofascore
Justin Diehl,Pomocnik,VfB Stuttgart,Niemcy,Bundesliga,sofascore
Ertugrul Yigit,Pomocnik,VfB Stuttgart,Niemcy,Bundesliga,sofascore
Dan Zagadou,Obrońca,VfB Stuttgart,Niemcy,Bundesliga,sofascore
Ameen Al-Dakhil,Obrońca,VfB Stuttgart,Niemcy,Bundesliga,sofascore
Leonidas Stergiou,Obrońca,VfB Stuttgart,Niemcy,Bundesliga,sofascore
Christopher Olivier,Obrońca,VfB Stuttgart,Niemcy,Bundesliga,sofascore
Princewill Mbock,Napastnik,SV Werder Bremen,Niemcy,Bundesliga,sofascore
Mitchell Weiser,Pomocnik,SV Werder Bremen,Niemcy,Bundesliga,sofascore
Ramiz Hamouda,Obrońca,SV Werder Bremen,Niemcy,Bundesliga,sofascore
Mats Heitmann,Obrońca,SV Werder Bremen,Niemcy,Bundesliga,sofascore
Luca Hocker,Obrońca,SV Werder Bremen,Niemcy,Bundesliga,sofascore
